!submit
TYMCOM-X Job Processor  %1(212)  22-Oct-87 09:33:05

SUBMIT> list

  Job     Req     Time   UserName      Next Run         Status
  CHAMBR  19491   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19492   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19493   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19494   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19495   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19496   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19497   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19498   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19499   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19500   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19501   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19502   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19503   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19504   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19505   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19506   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19507   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19508   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19509   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19510   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19511   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19512   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19513   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19514   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19515   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19516   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19517   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19518   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19519   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19520   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19521   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19522   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19524   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19525   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19526   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19527   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19528   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19529   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR30   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19531   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19532   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19533   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19534   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19535   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19536   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19537   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19538   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19539   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19540   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19541   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19542   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19543   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19544   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19545   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19546   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19547   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19548   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19549   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19550   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19551   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19552   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
