0292112301148SCAMP1       24326222306 112HI]006A/GDR111   326 10     0      0821231
0295501052322YANKEE       35525  4271 12SPOOL       11001   0   736423      1830106
0295501052322YANKEE       35525  4271 12SPOOL       111  1129 10     0      0830106
0295401052321YANKEE       35525  4271 12SPOOL       11001   0   611170      1830106
0295401052321YANKEE       35525  4271 12SPOOL       111   356 10     0      0830106
0295201052317YANKEE       35525  4271 12SPOOL       11001   0    22178      1830106
0295201052317YANKEE       35525  4271 12SPOOL       111   261 10     0      0830106
0296501061944YANKEE       35525  4271 12SPOOL       11001   0  1173748      1830107
0296501061944YANKEE       35525  4271 12SPOOL       111   969 10     0      0830107
0297201100913YANKEE       35525  4271 12SPOOL       11001   0  1085860      1830110
0297201100913YANKEE       35525  4271 12SPOOL       111   322 10     0      0830110
0298801121600YANKEE       35525  4271 12SPOOL       11001   0  1085860      1830113
0298801121600YANKEE       35525  4271 12SPOOL       111   322 10     0      0830113
0200101151653E32014       10264104032128JRS         11001   0   612758     12830120
0200101151653E32014       10264104032128JRS         111 50196 10     0      0830120
0299901141617E32014       10264104032128JRS         11002   0    49906      1830120
0299901141617E32014       10264104032128JRS         111    26 21     0      0830120
0202201202117YANKEE       35525  4271 12SPOOL       11001   0    71748      1830121
0202201202117YANKEE       35525  4271 12SPOOL       111   267 10     0      0830121
0202401202217YANKEE       35525  4271 12SPOOL       11001   0   262390      1830121
0202401202217YANKEE       35525  4271 12SPOOL       111   170 10     0      0830121
0202301202214YANKEE       35525  4271 12SPOOL       11001   0  1658510      1830121
0202301202214YANKEE       35525  4271 12SPOOL       111   768 10     0      0830121
0208702031427FNCA         21112171360 71RESTAURANT  11001   0    12960      1830204
0208702031427FNCA         21112171360 71RESTAURANT  111    16 10     0      0830204
0209402041514FNCA         21112171360 71RESTAURANT  11001   0    14275      1830204
0209402041514FNCA         21112171360 71RESTAURANT  111    17 10     0      0830204
0209902051343YANKEE       35525  4271 12SPOOL       11001   0   283960      1830207
0209902051343YANKEE       35525  4271 12SPOOL       111   179 10     0      0830207
0209802051340YANKEE       35525  4271 12SPOOL       11001   0  4104900      2830209
0209802051340YANKEE       35525  4271 12SPOOL       111  1544 10     0      0830209
0209702051336YANKEE       35525  4271 12SPOOL       11001   0   171968      1830209
0209702051336YANKEE       35525  4271 12SPOOL       111   279 10     0      0830209
0216602220857YANKEE       35525  4271 12SPOOL       11001   0   290140      1830222
0216602220857YANKEE       35525  4271 12SPOOL       111   183 10     0      0830222
0216502220854YANKEE       35525  4271 12SPOOL       11001   0  1984520      1830222
0216502220854YANKEE       35525  4271 12SPOOL       111   890 10     0      0830222
0215202201NKEE       35525  4271 12SPOOL       11001   0   257498      1830222
0215202201129YANKEE       35525  4271 12SPOOL       111   289 10     0      0830222
0217802251454E32014       10264104032128            11001   0    62126      4830301
0217802251454E32014       10264104032128            111    36 10     0      0830301
0221603080751YANKEE       35525  4271 12SPOOL       11001   0   218628      1830308
0221603080751YANKEE       35525  4271 12SPOOL       111  1075 10     0      0830308
0221503080749YANKEE       35525  4271 12SPOOL       11001   0   253518      1830308
0221503080749YANKEE       35525  4271 12SPOOL       111   727 10     0      0830308
0221203080326YANKEE       35525  4271 12SPOOL       11001   0   389228      1830309
0221203080326YANKEE       35525  4271 12SPOOL       111   305 10     0      0830309
0223403150948SCAMP1       24326222306 112H006A/GDR.D11001   0  1355300      1830316
0223403150948SCAMP1       24326222306 112H006A/GDR.D111   326 10     0      0830316
0225103200213YANKEE       35525  4271 12SPOOL       11001   0   504128      1830322
0225103200213YANKEE       35525  4271 12SPOOL       111   319 10     0      0830322
0226103222041YANKEE       35525  4271 12SPOOL       11001   0    66528      1830323
0226103222041YANKEE       35525  4271 12SPOOL       111   955 10     0      0830323
0225803211704YANKEE       35525  4271 12SPOOL       11001   0   327315      1830323
0225803211704YANKEE       35525  4271 12SPOOL       111   190 10     0      0830323
0232204071416YANKEE       35525  4271 12SPOOL       11001   0   432605      1830408
0232204071416YANKEE       35525  4271 12SPOOL       111   248 10     0      0830408
