0240702181413FRANK            4111413  2MAGCON      0000000000000000000000000000000
0240902181955BILLING10        1 44355  0ACTG        0000000000000000000000000000000
0241002190813BILLING10        1 44355  0ACTG        0000000000000000000000000000000
0241102190939FRANK            4111413  2MAGCON      0000000000000000000000000000000
0241202191415FRANK            4111413  2MAGCON      0000000000000000000000000000000
0241302200013BILLING10        1 44355  0ACTG        0000000000000000000000000000000
0241402210800DANIELSR         1142734  0FILE SAVE   0000000000000000000000000000000
0241602210957BILLING10        1 44355  0MAGCON      0000000000000000000000000000000
0241702211039BILLING10        1 44355  0ACTG        0000000000000000000000000000000
0242702221614FRANK            4111413  2MAGCON      0000000000000000000000000000000
0242802221800FRANK            4111413  2ACTG        0000000000000000000000000000000
0242902230901FRANK            4111413  2MAGCON      0000000000000000000000000000000
0243002230957BILLING10        1 44355  0ACTG        0000000000000000000000000000000
0243102231402DCSFRS       16316177547249LJB         0000000000000000000000000000000
0243202231404DCSFRS       16316177547249LJB         0000000000000000000000000000000
0243402240011BILLING10        1 44355  0ACTG        0000000000000000000000000000000
0243502240042BILLING10        1 44355  0MAGCON      0000000000000000000000000000000
0243702241543FRANK            4111413  2MAGCON      0000000000000000000000000000000
0243802242354BILLING10        1 44355  0ACTG        0000000000000000000000000000000
0243902250840FRANK            4111413  2MAGCON      0000000000000000000000000000000
0244102260814BILLING10        1 44355  0ACTG        0000000000000000000000000000000
0244202260828FRANK            4111413  2MAGCON      0000000000000000000000000000000
0244302271057BILLING10        1 44355  0MAGCON      0000000000000000000000000000000
0244402271602BILLING10        1 44355  0ACTG        0000000000000000000000000000000
0244502280006BILLING10        1 44355  0MAGCON      0000000000000000000000000000000
0244702282019BILLING10        1 44355  0ACTG        0000000000000000000000000000000
0244802282247BILLING10        1 44355  0MAGCON      0000000000000000000000000000000
0245803011925SILVAM           1230617  0MTHFEB      0 1     8 10000000      0930301
